openjpeg,https://github.com/uclouvain/openjpeg
opensc,https://github.com/OpenSC/OpenSC
openssl,https://github.com/openssl/openssl.git
openthread,https://github.com/openthread/openthread
openvswitch,https://github.com/openvswitch/ovs.git
ots,https://github.com/khaledhosny/ots.git
pcapplusplus,https://github.com/seladb/PcapPlusPlus
perfetto,https://android.googlesource.com/platform/external/perfetto/
php,https://github.com/php/php-src.git
picotls,https://github.com/h2o/picotls
poppler,https://anongit.freedesktop.org/git/poppler/poppler.git
poppler,https://gitlab.freedesktop.org/poppler/poppler.git
postgis,https://git.osgeo.org/gitea/postgis/postgis.git
qemu,https://git.qemu.org/git/qemu.git
qpdf,https://github.com/qpdf/qpdf.git
qt,git://code.qt.io/qt/qt5.git
qt,git://code.qt.io/qt/qtbase.git
qt,git://code.qt.io/qt/qtsvg.git
quickjs,https://github.com/bellard/quickjs
radare2,https://github.com/radare/radare2
rdkit,https://github.com/rdkit/rdkit.git
readstat,https://github.com/WizardMac/ReadStat
relic,https://github.com/relic-toolkit/relic.git
resiprocate,https://github.com/resiprocate/resiprocate.git
rnp,https://github.com/rnpgp/rnp.git
selinux,https://github.com/SELinuxProject/selinux
serenity,https://github.com/SerenityOS/serenity
simdjson,https://github.com/simdjson/simdjson.git
skcms,https://skia.googlesource.com/skcms.git
skia,https://skia.googlesource.com/skia.git
solidity,https://github.com/ethereum/solidity.git
stb,https://github.com/nothings/stb.git
strongswan,https://github.com/strongswan/strongswan.git
sudoers,https://github.com/sudo-project/sudo
suricata,https://github.com/OISF/suricata.git
systemd,https://github.com/systemd/systemd
tensorflow-py,https://github.com/tensorflow/tensorflow
tesseract-ocr,https://github.com/tesseract-ocr/tesseract
tidy-html5,https://github.com/htacg/tidy-html5.git
tmux,https://github.com/tmux/tmux.git
tpm2,https://chromium.googlesource.com/chromiumos/third_party/tpm2
tremor,https://gitlab.xiph.org/xiph/tremor.git
unbound,https://github.com/NLnetLabs/unbound
unicorn,https://github.com/unicorn-engine/unicorn.git
unrar,https://github.com/aawc/unrar.git
usrsctp,https://github.com/sctplab/usrsctp
usrsctp,https://github.com/weinrank/usrsctp
util-linux,https://github.com/karelzak/util-linux
uwebsockets,https://github.com/uNetworking/uWebSockets.git
w3m,https://github.com/tats/w3m
wabt,https://github.com/WebAssembly/wabt
wasm3,https://github.com/wasm3/wasm3
wavpack,https://github.com/dbry/WavPack.git
wget2,https://gitlab.com/gnuwget/wget2.git
wget,https://git.savannah.gnu.org/git/wget.git
wireshark,https://gitlab.com/wireshark/wireshark.git
wolfssl,https://github.com/wolfssl/wolfssl
wpantund,https://github.com/openthread/wpantund
wuffs,https://github.com/google/wuffs.git
yara,https://github.com/VirusTotal/yara.git
zstd,https://github.com/facebook/zstd
